"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"RS_NUMBER";"SPICEMODEL";"SPICEPREFIX";"SPICEPREFIXL";
"B1";"MB1S";"MB1S";"SOIC-4";"Bridge Rectifier";"MULTICOMP";"MB1S";"1861514";"";"";"";"";"";"";
"C2";"100nf";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"AVX";"08055C104KAZ2A";"7569564";"";"88";"";"";"C";"";
"C3";"100nf";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"AVX";"08055C104KAZ2A";"7569564";"";"88";"";"";"C";"";
"C4";"2.2nf";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"AVX";"04025C222JAT2A";"1740585";"";"88";"";"";"C";"";
"C5";"2.2nf";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"AVX";"04025C222JAT2A";"1740585";"";"88";"";"";"C";"";
"C6";"47uf";"CPOL-EU140CLH-1010";"140CLH-1010";"POLARIZED CAPACITOR, European symbol";"PANASONIC";"EEEFK1K470P";"9696105";"";"0";"";"";"C";"";
"C7";"100nf";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"AVX";"08055C104KAZ2A";"7569564";"";"88";"";"";"C";"";
"D1";"";"DIAC-DO35-10";"DO35-10";"DIAC";"NTE ELECTRONICS";"NTE6408";"1530937";"";"";"";"";"";"";
"F1";"500mA";"SH22,5A";"SH22,5A";"FUSE HOLDER grid 22,5mm, isolated cap OGN0031 8201, Schurter (Buerklin)";"ARCOLECTRIC";"C0345RAAAA";"149862";"04F1224";"";"";"";"";"";
"F2";"100mA";"SH22,5A";"SH22,5A";"FUSE HOLDER grid 22,5mm, isolated cap OGN0031 8201, Schurter (Buerklin)";"ARCOLECTRIC";"C0345RAAAA";"149862";"04F1224";"";"";"";"";"";
"R1";"2.2k ohm";"R-EU_R2512W";"R2512W";"RESISTOR, European symbol";"VISHAY";"CRCW08052K20FKEA";"1469887";"";"0";"178-1862";"";"R";"";
"R2";"11k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"MULTICOMP";"MCMR08X1102FTL";"2073617RL";"";"45";"";"";"R";"";
"R3";"11k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"MULTICOMP";"MCMR08X1102FTL";"2073617RL";"";"45";"";"";"R";"";
"R4";"10 ohm";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"BOURNS";"CRT1206-BY-10R0ELF";"2008318";"";"45";"";"";"R";"";
"R5";"";"R-TRIMM3339P";"RTRIM3339P";"Trimm resistor";"VISHAY";"534B1101JL";"1144784";"";"29";"";"X";"";"POT";
"R6";"";"R-TRIMM3339P";"RTRIM3339P";"Trimm resistor";"VISHAY";"534B1101JL";"1144784";"";"29";"";"X";"";"POT";
"S1";"";"LPV-1";"LPV-1";"TOGGLE SWITCH";"QUALTEK ELECTRONICS";"761-18/003";"1425202";"";"";"";"";"";"";
"SV1";"";"L03P";"L03P";"AMP MT CONNECTOR";"JST (JAPAN SOLDERLESS TERMINALS)";"B03B-XASK-1(LF)(SN)";"9492070";"unknown";"";"";"";"";"";
"TR2";"";"EI38-2";"EI38-2";"TRANSFORMER";"MYRRA";"44203";"1214596";"";"0";"";"";"";"";
"X6";"1-227161-0";"1-227161-0";"AMP_227161";"JACK,  RIGHT ANGLE, 50 OHM, PCB, BNC";"GREENPAR - TE CONNECTIVITY";"1-1337542-0";"1020954";"33B3200";"";"";"";"";"";
"X7";"1-227161-0";"1-227161-0";"AMP_227161";"JACK,  RIGHT ANGLE, 50 OHM, PCB, BNC";"GREENPAR - TE CONNECTIVITY";"1-1337542-0";"1020954";"33B3200";"";"";"";"";"";
"X8";"1-227161-0";"1-227161-0";"AMP_227161";"JACK,  RIGHT ANGLE, 50 OHM, PCB, BNC";"GREENPAR - TE CONNECTIVITY";"1-1337542-0";"1020954";"33B3200";"";"";"";"";"";
"X9";"1-227161-0";"1-227161-0";"AMP_227161";"JACK,  RIGHT ANGLE, 50 OHM, PCB, BNC";"GREENPAR - TE CONNECTIVITY";"1-1337542-0";"1020954";"33B3200";"";"";"";"";"";
"X10";"1-227161-0";"1-227161-0";"AMP_227161";"JACK,  RIGHT ANGLE, 50 OHM, PCB, BNC";"GREENPAR - TE CONNECTIVITY";"1-1337542-0";"1020954";"33B3200";"";"";"";"";"";
